"label","title","discountPrice","soldQuantity","quantity","brand","series","totalRating","features","color","Năm ra mắt","Xuất xứ","Loại card đồ họa","Loại CPU","Dung lượng RAM","Loại RAM","Mô tả ram","Ổ cứng","Dung lượng ổ cứng","Tần số quét","Chất liệu tấm nền","Kích thước màn hình","Công nghệ màn hình","Độ phân giải màn hình","Công nghệ âm thanh","Chất liệu","Kích thước","Trọng lượng","Tính năng đặc biệt","Loại đèn bàn phím","Bảo mật","Webcam","Hệ điều hành","Pin","Wi-Fi","Bluetooth","Cổng giao tiếp"
"Gaming","Laptop ASUS TUF Gaming A15 FA506NF-HN005W",15990000,73,25,"asus","tuf","2.9","Bộ xử lý AMD Ryzen™ 5 mang tới hiệu năng mạnh mẽ cho mọi tác vụ Màn hình Full HD, tần số quét 144Hz hỗ trợ chơi game sống động với tốc độ nhanh Card Geforce RTX 2050 cải thiện hiệu suất xử lý đồ họa và đảm bảo trải nghiệm chơi game tuyệt vời RAM 8GB cùng ổ cứng 512 GB SSD rút ngắn thời gian mở máy, khởi động ứng dụng","Đen","2021","Hàn Quốc","NVIDIA® GeForce RTX™ 2050","AMD Ryzen™ 5 7535HS Processor 3.3GHz (19MB Cache, up to 4.55 GHz, 6 Nhân, 12 Luồng)","8GB","8GB DDR5-4800MHz","8GB 8GB DDR5-4800MHz  2 khe SO-DIMM (Nâng cấp tối đa 32GB)","512GB PCIe® 4.0 NVMe™ M.2 SSD","512GB","144 Hz","Tấm nền IPS","15.6 inches","Tần số quét 144HzĐộ sáng 250nits  Độ phủ màu: NTSC 45%, SRGB 62.5%, Adobe 47.34%  Màn hình chống chói  Adaptive-Sync","1920 x 1080 pixels (FullHD)","2 loa Công nghệ chống ồn trí tuệ nhân tạo (AI)Phần mềm DTSChứng nhận Hi-Res","","35.9 x 25.6 x 2.28 ~ 2.45 cm (W x D x H)","2.30 kg","Wi-Fi 6","Bàn phím Chiclet có đèn nền, hỗ trợ 1 vùng màu RGB","Mật khẩu quản trị BIOS và Bảo vệ mật khẩu người dùngKhe an toàn Kensington Security Slot™Module Nền tảng Tin cậy (TPM Firmware)","720P HD camera","Windows 11 Home","48WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6 (802.11ax) (Dual band) 2*2","Bluetooth 5.3","1x Cổng LAN RJ451x Cổng USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™3x Cổng USB 3.2 Gen 2 Type-A"
"Văn phòng","Laptop HP Pavilion 14-DV2075TU 7C0W2PA",15000000,56,40,"hp","pavilion","1.6","Sở hữu hữu thiết kế tối giản với tone màu bạc sang trọng, trọng lượng gọn nhẹ chỉ 1.41 kg dễ dàng meo theo khắp nơi. Màn hình 14 inch cùng tấm nền IPS cho khả năng tái tạo màu sắc chân thực sống động, độ chính xác màu cao cùng với đó là góc nhìn siêu rộng lên tới 178 độ. CPU Intel Core i5-1235U mạnh mẽ, xử lý đa nhiệm các tác vụ văn phòng như Word, Excel, PowerPoint,... Kết hợp với card đồ họa Intel Iris Xe Graphics cho khả năng chỉnh sửa hình ảnh cơ bản hay giải trí, xem phim một cách trơn tru. 8GB RAM cùng ổ cứng SSD 512GB NVMe PCIe cho không gian lưu trữ rộng lớn,... tăng tốc độ khởi động máy, ứng dụng nhanh chóng. Camera với độ phân giải 720p hỗ trợ call video, họp trực tuyến hay học online thêm phần chất lượng hơn.","Bạc","2023","Nhật Bản","Intel Iris Xe Graphics","Intel Core i5-1235U, 10 lõi / 12 luồng, 4.40 GHz, 12MB","8GB","DDR4 3200MHz","8GB DDR4 3200MHz 2x 4 GB","512 GB PCIe NVMe M.2 SSD","512GB","","Tấm nền IPS","14 inches","BrightView Độ sáng 250 nits  Độ phủ màu 45% NTSC","1920 x 1080 pixels (FullHD)","2 loa","","32.5 x 21.66 x 1.7 cm (Dài x Rộng x Cao)","1.41 kg","Wi-Fi 6","","","HP Wide Vision 720p HD camera","Windows 11 Home 64","3-cell, 43 Wh Li-ion","MediaTek Wi-Fi 6 MT7921 (2x2)","Bluetooth 5.2","1x USB Type-C (Sạc, DisplayPort 1.4, HP ngủ và sạc) 2x USB Type-A 1x HDMI 2.1 1x Headphone/microphone combo"
"Gaming","Laptop ASUS TUF Gaming F15 FX507VU-LP197W",25000000,29,2,"asus","tuf","1.1","Cấu hình tuyệt vời với card đồ họa NVIDIA RTX 4050 - Cho trải nghiệm game mượt mà, đưa bạn vào không gian giải trí sống động tuyệt vời. 32GB RAM DDR5 có khả năng vận hành mượt mà nhiều ứng dụng trong cùng thời điểm. Cặp loa Dolby Atmos cung cấp âm thanh độ phân giải cao, giúp tái hiện từng tiết tấu âm thanh đều cực kỳ trong trẻo. Hệ thống tản nhiệt của sản phẩm vận hành cực kỳ êm ái, tránh gây tiếng ồn làm phiền người dùng trong quá trình chơi game hay làm việc.","Xám","2023","Hàn Quốc","NVIDIA GeForce RTX 4050 6GB GDDR6  Intel Iris Xe Graphics","Intel Core i7-13620H (2.4 GHz, 24M Cache, up to 4.9 GHz, 10 lõi: 6 P-cores và 4 E-cores)","32GB","DDR5-4800 SO-DIMM","32GB DDR5-4800 SO-DIMM 2 khe (1 khe 16GB DDR5 + 1 khe 16GB DDR5, tối đa 32GB)","512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB)","512GB","144 Hz","Tấm nền IPS","15.6 inches","Độ sáng 250 nits  Tương phản 1000:1 contrastĐộ phủ màu 72% NTSC, 100% SRGB, 75.35% AdobeMàn hình chống chói G-Sync","1920 x 1080 pixels (FullHD)","Công nghệ khử tiếng ồn AI  Dolby AtmosChứng nhận Hi-Res (dành cho tai nghe)Hỗ trợ Microsoft Cortana trường gần/trường xa","Vỏ nhựa","35.4 x 25.1 x 2.24 ~ 2.49 cm","2.20 kg","Wi-Fi 6","Backlit Chiclet Keyboard 1-Zone RGB","Bảo vệ mật khẩu quản trị viên BIOS và mật khẩu người dùng Khe bảo mật Kensington Mô-đun nền tảng đáng tin cậy (Firmware TPM)","720P HD camera","Windows 11 Home","90WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6(802.11ax) (Dual band) 2*2","Bluetooth 5.2","1x RJ45 LAN1x Thunderbolt 4 (DisplayPort)1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC)2x USB 3.2 Gen 1 Type-A1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack"
"Gaming","Laptop ASUS Gaming ROG Zephyrus G14 GA403UV-QS170W",19000000,62,27,"asus","rog",0,"Hiệu năng mạnh mẽ với GPU NVIDIA GeForce RTX 4060 cho khả năng xử lý đa nhiệm mượt mà, chơi game và làm việc đồ họa chuyên nghiệp. Bàn phím Chiclet với đèn nền RGB 1 vùng cho khả năng tùy chỉnh màu sắc và hiệu ứng ánh sáng. Công nghệ âm thanh Dolby Atmos tạo hiệu ứng âm thanh vòm 3D, giúp bạn đắm chìm trong thế giới game và phim ảnh. Thiết kế sang trọng, lựa chọn hoàn hảo cho những người đam mê công nghệ và phong cách.","Trắng","2022","Đài Loan","NVIDIA GeForce RTX 4060 8GB GDDR6  AMD Radeon Graphics","AMD Ryzen 9 8945HS 4GHz (24MB Cache, up to 5.2 GHz, 8 lõi, 16 luồng)","32GB","LPDDR5X 6400 Onboard","32GB LPDDR5X 6400 Onboard","1 TB PCIe 4.0 NVMe M.2 SSD","1TB","120Hz","Tấm nền Oled","14 inches","Độ sáng 500 nits Độ phủ màu 100% DCI-P3Glossy displayG-Sync / Adaptive-SyncROG Nebula DisplayDolby Vision HDR","2880 x 1800 pixels","Hệ thống 4 loa (woofer lực kép) với Công nghệ Smart Amplifier 2 TweeterCông nghệ chống ồn AI Dolby AtmosChứng nhận Hi-Res (dành cho tai nghe) Công nghệ Smart Amp","","31.1 x 22.0 x 1.59 ~ 1.63 cm (W x D x H)","1.50 Kg","Wi-Fi 6, Màn hình Oled","RGB 1 vùng","Mật khẩu quản trị viên BIOS Bảo vệ mật khẩu người dùng","1080P FHD IR Camera for Windows Hello","Windows 11 Home","73WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6E(802.11ax) (Triple band) 2*2","Bluetooth 5.3","1x USB Type-C 4 hỗ trợ DisplayPort / cấp nguồn1x USB 3.2 Thế hệ 2 Type-C hỗ trợ DisplayPort2x USB 3.2 Thế hệ 2 Loại A1x đầu đọc thẻ (microSD) (UHS-II) 1x HDMI 2.1 FRL 1x Giắc âm thanh kết hợp 3,5mm"
"Sinh viên","Laptop Dell Latitude E7440",14000000,54,0,"dell","latitude",0,"Trợ thủ đắc lực cho dân văn phòng với cân nặng chỉ 1.63kg dễ dàng bỏ vào balo Màn hình 14 inch độ phân giải 1366 x 768 px cho hình ảnh rõ nét, chất lượng cao CPU Core i5 giúp xử lý nhanh mọi tác vụ mượt mà RAM 8GB đa nhiệm cùng ổ cứng 128GB hỗ trợ mở máy, khởi động ứng dụng nhanh chóng Trang bị đa dạng cổng kết nối, hỗ trợ truyền tải dữ liệu chỉ trong giây lát","Đen","2022","Đài Loan","Intel HD Graphics 4400","Intel Core i5-4300U (1.90 GHz,  Turbo Boost 2.9 GHz)","8GB","DDR3L 1600 MHz","8GB DDR3L 1600 MHz 2 khe RAM (Nâng cấp tối đa 16 GB)","SSD 128GB","128GB","","","14 inches","","1366 x 768 pixels","Combo Microphone & Headphone","Vỏ nhựa","337 x 231.5 x 21 mm (Dài x Rộng x Dày)","1.63 kg","","","","HD webcam","","4-cell Li-ion","","Có","1x Mini DisplayPort  1x HDMI 1x LAN (RJ45) 3x USB 3.0"
"Văn phòng","Laptop Dell Inspiron 7425",20000000,79,67,"dell","inspiron","3.5","Sở hữu CPU MD Ryzen 5-5625U giúp bạn giải quyết ổn thỏa các tác vụ văn phòng Màn hình 14 inch cùng độ phân giải Full HD cho phép hiển thị hình ảnh đặc sắc, chân thật Ổ cứng SSD 512GB cùng RAM 8GB cho bạn thỏa thích mở nhiều tab cùng khởi động nhanh máy tính, ứng dụng Màn hình gập kèm tính năng cảm ứng giúp bạn dễ dàng sử dụng, dễ dàng xem những bộ phim mình yêu thích  ","Xám","2022","Đài Loan","AMD Radeon Graphics","AMD Ryzen 5-5625U (2.30GHz up to 4.30GHz, 16MB Cache)","8GB","DDR4 3200MHz","8GB DDR4 3200MHz 1 thanh RAM 8GB","512GB M.2 PCIe NVMe SSD","512GB","60Hz","Tấm nền IPS","14 inches","Độ phủ màu 65,5%sRGB","1920 x 1200 pixels (FullHD+)","","","","1.6 kg","Wi-Fi 6, Bảo mật vân tay","","Bảo mật vân tay","Full HD 30 FPS","Windows 11 Home bản quyền","54WHr 4-Cell","Wi-Fi 6","Bluetooth 5.2","1 x USB Type A  2 x USB Type C display-port 1 x HDMI 1 x Jack cắm tai nghe 3.5mm  1 x Đầu đọc thẻ SD"
"Văn phòng","Laptop Asus Zenbook 17 Fold OLED UX9702AA-MD014W",18000000,41,64,"asus","zenbook","3.0","Thiết kế sang trọng với màn hình cảm ứng 17.3 inch, độ phủ màu 100% DCI-P3 cùng độ sáng lên đến 500nits HDR cho hình ảnh sắc nét, màu sắc chân thực với độ chính xác màu cao. CPU Intel Core i7-1250U, card đồ họa Intel Iris Xe Graphics cùng RAM 16 GB và ổ cứng 1TB hỗ trợ nhiều tác vụ từ cơ bản đến nâng cao thỏa sức sáng tạo, lưu trữ nhiều file nặng mà không lo lag, giật. Đa nhiệm với nhiều chế độ sử dụng như: Máy tính xách tay, máy tính để bàn hay sử dụng như một chiếc máy tính bảng. Hỗ trợ bàn phím ảo trên màn hình giúp người dùng thao tác lập tức mà không cần mang theo bàn phím rời. Máy đạt độ bền đạt chuẩn quân đội US MIL-STD 810H bền bỉ với nhiều bài test.","Đen","2021","Trung Quốc","Intel Iris Xe Graphics","Intel Core i7-1250U 1.1 GHz (12M Cache, up to 4.7 GHz, 2P + 8E cores)","16GB","LPDDR5 Onboard","16GB LPDDR5 Onboard","1TB M.2 NVMe PCIe 4.0 SSD","1TB","","","17.3 inches","1.07 tỷ màu  Hạn chế ánh sáng xanh 70%  Độ phủ màu 100% DCI-P3  Độ sáng 500nits HDR  Tần số quét 60Hz  Thời gian phản hồi 0.2ms  HDR True Black 500","","Công nghệ khuếch đại thông minh Loa tích hợp Micrô mảng tích hợp Harman/kardon (Premium)","Vỏ kim loại","37.85 x 28.76 x 0.87 ~ 1.29 cm (W x H x D)","1.50 kg","Wi-Fi 6, Màn hình cảm ứng, Công nghệ Intel Evo","","Trusted Platform Module (Firmware TPM) Trusted Platform Module (TPM)","5.0M camera với IR","Windows 11 Home","75WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6E(802.11ax) (Dual band) 2*2","Bluetooth 5","1x 3.5mm Combo Audio Jack 2x Thunderbolt 4 (display / sạc)"
"Gaming","Laptop Lenovo LOQ 15IRX9 83DV00ERVN",18000000,70,78,"lenovo","loq","1.9","Trang bị bộ vi xử lý Intel Core i7giúp xử lý tác vụ nhanh chóng và mượt mà Card đồ họa NVIDIA GeForce RTX 4060 cho trải nghiệm gaming mượt mà với mức đồ họa cao Bộ nhớ RAM 16GB đảm bảo hiệu suất ổn định và đáp ứng nhu cầu đa nhiệm Ổ cứng SSD 512GB, cho dung lượng lớn và tốc độ truy xuất dữ liệu nhanh chóng Màn hình 15.6 inch FHD cùng tần sốt quét 144Hz hỗ trợ G-SYNC, cho bạn trải nghiệm giây phút chơi game tuyệt vời","Xám","2021","Đài Loan","NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 105W","Intel Core i7-13650HX (16 nhân/ 20 luồng, upto 4.9GHz, 24MB)","16GB","DDR5-4800","16GB DDR5-4800 1 khe trống DDR5 SO-DIMM (Nâng cấp tối đa 32 GB)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (1 thanh trống nâng cấp tối đa 1TB)","512GB","144 Hz","Tấm nền IPS","15.6 inches","Độ sáng tối đa 300 nits Màn hình chống chói Độ phủ màu 100% sRGB G-SYNC","1920 x 1080 pixels (FullHD)","Âm thanh độ phân giải cao (HD)  codec Realtek ALC3287 Loa âm thanh nổi, 2W x2  Nahimic Audio","Vỏ nhựa","359.86 x 258.7 x 21.9-23.9 mm (W x D x H)","2.38 kg","Wi-Fi 6","","Firmware TPM 2.0 Enabled","FHD 1080p với màn trập E-shutter","Windows 11 Home Single Language","60Wh","Wi-Fi 6, 11ax 2x2","Bluetooth 5.2","3x USB-A 1x USB-C 1x HDMI 1 x Jack cắm tai nghe 1x Ethernet (RJ-45) 1x Power connector"
"Văn phòng","Laptop Lenovo Thinkpad T14 gen 3",25000000,9,86,"lenovo","thinkpad",0,"Sở hữu CPU i7 1260P cùng card đồ họa Intel Iris Xe giúp bạ xử lý tốt các công việc văn phòng và xử lý ảnh nhẹ Màn hình 14 inch có độ phân giải WUXGA giúp bạn trải nghiệm hình ảnh chân thật, sắc nét Ổ cứng SSD có dung lượng 2TB, là không gian lưu trữ rộng lớn, không cần copy dữ liệu qua USB Trang bị nhiều cổng kết nối giúp quá trình xuất/nhập dữ liệu trở nên thuận tiện Thiết kế mỏng nhẹ, sang trọng, trọng lượng chỉ 1.36 kg giúp bạn không thấy khó chịu khi mang bên mình","Đen","2024","Nhật Bản","Intel Iris Xe Graphics","i7 1260P 3.4GHz (up to 4.7 GHz, 18MB Cache)","16GB","DDR4 3200Mhz","16GB DDR4 3200Mhz","2TB SSD PCIe Gen 4 (512 GB SSD NVMe PCIe Nâng cấp tối đa 2 TB)","512GB","","Tấm nền IPS","14 inches","Màn hình chống chói Độ sáng tối đa 300nits Độ phủ màu 45%","1920 x 1200 pixels (WUXGA)","2W x2Dolby Audio","Vỏ kim loại","323.5 x 217.1 x 17.9 mm ( Dài x Rộng x Cao)","1.35 kg","Wi-Fi 6, Bảo mật vân tay","","Bảo mật Intel vPro Đầu đọc dấu vân tay cảm ứng khi bật nguồn Bảo vệ thông tin cá nhân Discrete Trusted Platform Module (dTPM) 2.0 chip Khe khóa Kensington Tile ready","Webcam 1080p FHD RG với màn trập riêng tư","Windows 11","57Wh","Wifi 6E","Bluetooth 5.2","2 x Intel Thunderbolt 4 2 x USB-A 3.2 Thế hệ 1 1 x HDMI2.0b 1 x Combo tai nghe/mic 1 x RJ45 1 x Khe sim"
"Văn phòng","Laptop Surface Pro 9 i7 16GB 256GB",14000000,76,37,"microsoft","surface","4.0","Sở hữu thiết kế vô cùng mỏng nhẹ với trọng lượng chỉ 879g dễ dàng mang theo đi bất cứ đâu để làm việc CPU Intel Core i7-1255U cân mọi tác vụ văn phòng từ nặng tới nhẹ RAM lên đến 16GB đa nhiệm không lo các trình duyệt hay tab công việc bị load lại Ổ cứng 256GB có thể tháo ra lắp thanh khác cực tiện lợi khi nâng cấp Màn hình cảm ứng 13 inch cực mướt hỗ trợ thao tác vuốt chạm dễ dàng","Xám","2024","Hàn Quốc","Intel Iris Xe","Intel Core i7-1255U (10 lõi / 12 luồng, 3.50 GHz, Turbo Boost 4.70 GHz, 12 MB)","16GB","LPDDR5x 6400MHz","16GB LPDDR5x 6400MHz","256GB","256GB","120 Hz","","13 inches","Dolby Vision IQ Gorilla Glass 5","2880 x 1920 pixels","Loa kép âm thanh nổi với công nghệ Dolby Atmos","Vỏ kim loại","287 x 209 x 9.3 mm (Dài x Rộng x Cao)","879 g","Wi-Fi 6, Màn hình cảm ứng, Nhận diện khuôn mặt","","","Camera trước 1080p Camera sau 10.0MP hỗ trợ quay video 1080p HD và 4K","Windows 11 Home","Lithium ion 47.7 Wh","Wi-Fi 6E: 802.11ax","Bluetooth Wireless 5.1","2x USB-C với USB 4.0/ Thunderbolt 4 1x Surface Connect  1x Surface Type Cover"
"Văn phòng","Laptop Dell XPS 9320",15000000,99,59,"dell","xps",0,"CPU Intel Core i7 1260P kết hợp với card Iris Xe Graphics xử lý chuyên nghiệp các tác vụ chỉnh sửa hình ảnh, thiết kế poster, banner,... RAM 16 GB chuẩn LPDDR5 mạnh mẽ, không gian lưu trữ rộng rãi nhờ ổ cứng 512 GB SSD, đồng thời gia tăng tốc độ đọc ghi nhanh chóng hơn đáng kể. Thiết kế cao cấp - sang trọng với áo nhôm màu bạc tuyệt mỹ. Cân nặng 1.26 kg gọn nhẹ dễ dàng di chuyển đến khắp mọi nơi. Nhân đôi bảo mật với công nghệ bảo mật vân tay và mở khóa bằng khuôn mặt, đi kèm camera IR hồng ngoại dễ dàng mở máy ngay cả trong bóng tối. Laptop có màn hình OLED cảm ứng giúp các thao tác sử dụng được linh hoạt hơn.","Bạc","2021","Hàn Quốc","Intel Iris Xe Graphics","Intel Core i7 Alder Lake - 1260P, 12 lõi / 16 luồng, up to 4.7 GHz, 18 MB cache","16GB","16 GB LPDDR5 Onboard 5200 MHz","16GB 16 GB LPDDR5 Onboard 5200 MHz","512 GB SSD NVMe PCIe","512GB","","Tấm nền OLED/AMOLED","13.4 inches","Tần số quét 60 Hz  Anti-Reflective  Độ sáng 400 nits  InfinityEdge display","","Realtek Audio","Vỏ kim loại","295.3 x 199 x 15.28 mm (Dài x Rộng x Dày)","1.26 kg","Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay, Nhận diện khuôn mặt","Có đèn bàn phím","","HD webcam  Camera IR","Windows 11 Home SL + Office Home & Student vĩnh viễn","3-cell, 55 Wh","Wi-Fi 6E (802.11ax)","Bluetooth 5.2","2 x Thunderbolt 4 với USB-C (Sạc và DisplayPort)"
"Văn phòng","Laptop Asus VivoBook S 14 Flip TP3402VA-LZ031W",20000000,62,84,"asus","vivobook",0,"Kích thước nhỏ gọn 14 inch với trọng lượng chỉ 1.5kg CPU Intel Core i5-13500H mạnh mẽ cân mọi tác vụ văn phòng như: Word, Excel, PowerPoint,... Card đồ họa tích hợp Intel UHD Graphics cho mọi thước phim hấp dẫn, sắc nét Ram 16GB DDR4 hoàn thành đa tác vụ một cách mượt mà Ổ cứng 512GB SSD tốc độ siêu cao giúp việc khởi động, tắt máy và chạy các ứng dụng cực nhanh Màn hình cảm ứng đa điểm, độ trễ thấp hỗ trợ sử dụng bút cảm ứng cực tiện lợi","Bạc","2024","Singapore","Intel UHD Graphics","Intel Core i5-13500H (2.6 GHz, 18MB Cache, up to 4.7 GHz, 12 lõi / 16 luồng)","16GB","DDR4","16GB DDR4 2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM)","512GB M.2 NVMe PCIe 3.0 SSD","512GB","","Tấm nền IPS","14 inches","Tần số quét 60Hz  Độ sáng 300nitsĐộ phủ màu 45% NTSC TÜV Rheinland-certified","1920 x 1200 pixels (WUXGA)","Công nghệ khuếch đại thông minh  Loa tích hợp Micrô mảng tích hợp Harman/kardon (Mainstream)","Vỏ nhựa","31.32 x 22.76 x 1.89 ~ 1.89 cm (W x H x D)","1.50 kg","Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay","Bàn phím Chiclet có đèn nền","McAfee LiveSafe 30 ngày dùng thử miễn phí  McAfee LiveSafe Mô-đun nền tảng đáng tin cậy (Firmware TPM)","1080p FHD với màn trập camera","Windows 11 Home","50WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6E (802.11ax) (Dual band) 2*2","Bluetooth® 5","1x USB 2.0 Type-A  1x USB 3.2 Gen 2 Type-A 1x USB 3.2 Gen 2 Type-C (Display / Sạc) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack 1x DC-in"
"Sinh viên","Laptop ASUS VivoBook 14 X1404ZA-NK075W",18000000,66,1,"asus","vivobook",0,"Thiết kế mỏng nhẹ chỉ 1.4 kg dễ dàng bỏ vào balo mang đi khắp nơi. CPU Intel Core i3 1215U mạnh mẽ, cho tốc độ nhanh hơn, xử lý mượt mà hơn. RAM 8 GB thể thoải mái làm nhiều công việc cùng lúc mà không lo giật, lag. Ổ cứng SSD 256 GB giúp máy khởi động, tắt máy hay sao chép, di chuyển dữ liệu nhanh chóng.","Xanh","2024","Đài Loan","Intel UHD Graphics","Intel Core i3-1215U (1.2 GHz - 4.4 GHz, 10MB, 6 nhân / 8 luồng)","8GB","DDR4 Onboard","8GB DDR4 Onboard 8GB Onboard + 2 Khe cắm, hỗ trợ tối đa 16GB","256GB SSD M.2 NVMe","256GB","60Hz","Tấm nền IPS","14 inches","Tỷ lệ khung hình 16:9Đèn nền LEDTần số làm mới 60Hz 250nits Dải màu 45% NTSCMàn hình chống chói,","1920 x 1080 pixels (FullHD)","SonicMasterLoa tích hợpMicrô array tích hợp hỗ trợ nhận dạng giọng Cortana","","32.49 x 21.39 x 1.79 cm","1.4 kg","Wi-Fi 6","","","720p HD webcam","Windows 11 Home","42WHrs, 3S1P, Li-ion 3 pin","Wi-Fi 6E(802.11ax) (Băng tần kép) 1*1","Bluetooth 5.3","1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A1x HDMI 1.4 1x Giắc Âm thanh Kết hợp 3,5 mm 1x Nguồn vào DC"
"Sinh viên","Laptop HP Pavilion 15-EG3112TU 8U6L9PA",20000000,75,26,"hp","pavilion","3.8","Sở hữu thiết kế sang trọng với lớp vỏ màu bạc tinh tế Màn hình 15.6 inch Full HD cho hình ảnh sắc nét, màu sắc chân thực, hỗ trợ làm việc, học tập hay giải trí thoải mái CPU Intel Core i7-1335U đáp ứng tốt các tác vụ học tập và làm việc hay chỉnh sửa hình ảnh cơ bản Ổ cứng 512GB SSD cho không gian lưu trữ lớn, khởi động máy, mở ứng dụng nhanh chóng RAM 16GB cho phép laptop chạy nhiều tác vụ cùng lúc và xử lý dữ liệu mượt mà hơn Đầy đủ các cổng kết nối cho phép kết nối với các thiết bị ngoại vi dễ dàng","Bạc","2022","Nhật Bản","Intel Iris Xe Graphics","Intel Core i7 - 1335U (3.70 GHz, up to 5.00 GHz)","16GB","DDR4 3200 MHz","16GB DDR4 3200 MHz 2 khe (1 khe 8 GB + 1 khe 8 GB, hỗ trợ nâng cấp tối đa 32 GB)","512 GB SSD M2. PCIe","512GB","","Tấm nền IPS","15.6 inches","","1920 x 1080 pixels (FullHD)","","Vỏ kim loại","360.2 x 234 x 18 mm (Dài x Rộng x Dày)","1.69 kg","Wi-Fi 6","","","Camera HP Wide Vision HD","Windows 11 Home Single Language","3-cell","802.11 ax","Bluetooth 5.2","1x USB 3.2 Gen 2 2x USB 3.2 Gen 1 1x HDMI"
"Văn phòng","Laptop Lenovo Ideapad Slim 5 16IMH9 83DC001SVN",20000000,4,43,"lenovo","ideapad","2.0","Bộ xử lý Intel Core Ultra 7, card đồ họa Intel Arc Graphics tích hợp, RAM 32GB và ổ cứng SSD 512GB mang lại hiệu quả xử lý mạnh mẽ , đáp ứng tốt các tác vụ văn phòng, giải trí và chơi game. Trang bị màn hình OLED 16 inch 2K có tần số quét 120Hz, 400nits và hỗ trợ 100% DCI-P3 hình ảnh sắc nét, sống động và mượt mà. Vỏ kim loại sang trọng, nhẹ nhàng với trọng lượng chỉ 1.82kg, bàn phím có đèn nền và bàn di chuột Mylar mang đến trải nghiệm sử dụng thoải mái thoải mái và tiện lợi. Có Wi-Fi 6, Bluetooth 5.2, 2 cổng USB-A, 2 cổng USB-C, 1 cổng HDMI và 1 kết nối microSD cho kết nối đa nhiệm.","Xám","2023","Hàn Quốc","Intel Arc Graphics","Intel core Ultra 7 155H (16 nhân / 22 luồng, up to 4.8 GHz, 24MB cache)","32GB","Onboard LPDDR5x-7467","32GB Onboard LPDDR5x-7467","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hỗ trợ nâng cấp tối đa 1TB)","512GB","120 Hz","Tấm nền Oled","16 inches","DisplayHDR True Black 500 Độ sáng tối đa 400nits Độ phủ màu 100% DCI-P3","2048 x 1280 pixels","Stereo speakers 2W x2 Dolby Audio","Vỏ kim loại","356 x 251 x 16.9 mm","1.82 kg","Wi-Fi 6, Nhận diện khuôn mặt","","Bảo mật TPM 2.0 Camera hồng ngoại cho Windows Hello","FHD 1080p với màn trập riêng tư Cảm biến ToF","Windows 11 Home Single Language","57Wh","Wi-Fi 6, 11ax 2x2","BT5.2","2x USB-A 2x USB-C 1x HDMI 1x Jack cắm tai nghe 1x Đầu đọc thẻ nhớ SD"
